County,Eligible Black Voters,Black Voters (Turnout),Black: Eligible but Did Not Vote,Eligible White Voters,White Voters (Turnout),White: Eligible but Did Not Vote,Eligible Hispanic Voters,Hispanic Voters (Turnout),Hispanic: Eligible but Did Not Vote,Eligible Asian Voters,Asian Voters (Turnout),Asian: Eligible but Did Not Vote
BARBOUR,8929,3744,5185,9301,5444,3857,444,106,338,53,39,14
BULLOCK,5518,2905,2613,1949,999,950,186,22,164,43,5,38
BUTLER,6207,2942,3265,7580,4591,2989,164,57,107,140,39,101
CHOCTAW,3722,2382,1340,5637,3884,1753,85,29,56,1,15,0
CRENSHAW,2425,1243,1182,7218,4661,2557,123,66,57,28,24,4
DALLAS,19033,10268,8765,8106,4711,3395,165,35,130,50,36,14
GREENE,4645,3117,1528,1116,750,366,4,16,0,4,3,1
HALE,6158,3790,2368,4597,3131,1466,105,32,73,13,15,0
LOWNDES,5561,3692,1869,2022,1564,458,15,20,0,3,16,0
MACON,12121,6029,6092,2898,1532,1366,195,41,154,23,10,13
MARENGO,7250,4428,2822,6711,4639,2072,247,83,164,20,27,0
MONTGOMERY,99436,51597,47839,56611,31375,25236,3184,1219,1965,2960,981,1979
PERRY,4235,3127,1108,1908,1164,744,17,9,8,0,4,0
PIKE,9418,4162,5256,15040,7986,7054,430,135,295,160,94,66
RUSSELL,19969,9156,10813,20711,9581,11130,1955,579,1376,253,79,174
SUMTER,6453,3704,2749,2593,1401,1192,82,12,70,8,9,0
WILCOX,5257,3404,1853,2386,1627,759,1,13,0,0,2,0
