county_name,fips_code,eligible_black,voted_black,missing_voters_black,missing_voters_rate_black,eligible_white,voted_white,missing_voters_white,missing_voters_rate_white,eligible_latinx,voted_latinx,missing_voters_latinx,missing_voters_rate_latinx,not_voted_gap
Barbour,01005,9245,4330,4915,0.5316,9565,6110,3455,0.3612,405,35,370,0.9136,0.1704
Bullock,01011,5525,3336,2189,0.3962,1940,1168,772,0.3979,250,12,238,0.952,-0.0017
Butler,01013,6564,3640,2924,0.4455,8230,5751,2479,0.3012,175,20,155,0.8857,0.1443
Choctaw,01023,4259,3003,1256,0.2949,5810,4412,1398,0.2406,55,5,50,0.9091,0.0543
Crenshaw,01041,2564,1435,1129,0.4403,7680,5127,2553,0.3324,125,11,114,0.912,0.1079
Dallas,01047,19904,12221,7683,0.386,8585,5699,2886,0.3362,80,11,69,0.8625,0.0498
Greene,01063,5085,3895,1190,0.234,1270,867,403,0.3173,40,11,29,0.725,-0.0833
Hale,01065,6664,4521,2143,0.3216,4640,3400,1240,0.2672,10,10,0,0.0,0.0544
Lowndes,01085,5654,4860,794,0.1404,1970,1858,112,0.0569,30,12,18,0.6,0.0835
Macon,01087,12499,7043,5456,0.4365,2485,1621,864,0.3477,60,20,40,0.6667,0.0888
Marengo,01091,7540,5260,2280,0.3024,6860,5591,1269,0.185,135,28,107,0.7926,0.1174
Montgomery,01101,98815,51522,47293,0.4786,62620,39988,22632,0.3614,2110,604,1506,0.7137,0.1172
Perry,01105,4704,3783,921,0.1958,2295,1396,899,0.3917,105,5,100,0.9524,-0.1959
Pike,01109,9810,4072,5738,0.5849,15250,8454,6796,0.4456,410,47,363,0.8854,0.1393
Russell,01113,19675,9746,9929,0.5047,21060,10876,10184,0.4836,1740,287,1453,0.8351,0.0211
Sumter,01119,7145,4621,2524,0.3533,2640,1675,965,0.3655,30,3,27,0.9,-0.0122
Wilcox,01131,5530,4034,1496,0.2705,2365,1840,525,0.222,45,2,43,0.9556,0.0485
