county_name,fips_code,eligible_black,eligible_white,eligible_latinx,active_black,active_white,active_latinx,active_total,inactive_black,inactive_white,inactive_latinx,inactive_total,total_registered_black,total_registered_white,total_registered_latinx,reg_active_rate_black,reg_active_rate_white,reg_active_rate_latinx,reg_total_rate_black,reg_total_rate_white,reg_total_rate_latinx,inactive_rate,inactive_rate_black,inactive_rate,inactive_rate_white,inactive_rate_latinx
Barbour,1005,8929,9301,444,7171,8131,142,15697,963,922,29,1956,8134.0,9053.0,171.0,0.8031,0.8742,0.3198,0.911,0.9733,0.3851,0.1108,0.1184,0.1108,0.1018,0.1696
Bullock,1011,5518,1949,186,4789,1475,63,6376,656,132,7,803,5445.0,1607.0,70.0,0.8679,0.7568,0.3387,0.9868,0.8245,0.3763,0.1119,0.1205,0.1119,0.0821,0.1
Butler,1013,6207,7580,164,5797,7267,39,13236,700,557,7,1287,6497.0,7824.0,46.0,0.9339,0.9587,0.2378,1.0467,1.0322,0.2805,0.0886,0.1077,0.0886,0.0712,0.1522
Choctaw,1023,3722,5637,85,4088,5473,18,9624,618,505,2,1140,4706.0,5978.0,20.0,1.0983,0.9709,0.2118,1.2644,1.0605,0.2353,0.1059,0.1313,0.1059,0.0845,0.1
Crenshaw,1041,2425,7218,123,2414,7439,42,10010,247,551,13,835,2661.0,7990.0,55.0,0.9955,1.0306,0.3415,1.0973,1.107,0.4472,0.077,0.0928,0.077,0.069,0.2364
Dallas,1047,19033,8106,165,18687,7557,53,26569,2252,618,13,2942,20939.0,8175.0,66.0,0.9818,0.9323,0.3212,1.1001,1.0085,0.4,0.0997,0.1076,0.0997,0.0756,0.197
Greene,1063,4645,1116,4,4907,1100,17,6077,412,72,4,495,5319.0,1172.0,21.0,1.0564,0.9857,4.25,1.1451,1.0502,5.25,0.0753,0.0775,0.0753,0.0614,0.1905
Hale,1065,6158,4597,105,6498,4700,29,11345,493,302,6,814,6991.0,5002.0,35.0,1.0552,1.0224,0.2762,1.1353,1.0881,0.3333,0.0669,0.0705,0.0669,0.0604,0.1714
Lowndes,1085,5561,2022,15,6465,2275,19,8811,660,175,8,852,7125.0,2450.0,27.0,1.1626,1.1251,1.2667,1.2812,1.2117,1.8,0.0882,0.0926,0.0882,0.0714,0.2963
Macon,1087,12121,2898,195,10381,2389,60,13040,3596,224,21,3933,13977.0,2613.0,81.0,0.8564,0.8244,0.3077,1.1531,0.9017,0.4154,0.2317,0.2573,0.2317,0.0857,0.2593
Marengo,1091,7250,6711,247,7436,6599,68,14199,880,592,12,1510,8316.0,7191.0,80.0,1.0257,0.9833,0.2753,1.147,1.0715,0.3239,0.0961,0.1058,0.0961,0.0823,0.15
Montgomery,1101,99436,56611,3184,90546,50749,1602,147706,9856,5026,249,15877,100402.0,55775.0,1851.0,0.9106,0.8965,0.5031,1.0097,0.9852,0.5813,0.0971,0.0982,0.0971,0.0901,0.1345
Perry,1105,4235,1908,17,5062,1826,10,6934,486,183,6,689,5548.0,2009.0,16.0,1.1953,0.957,0.5882,1.31,1.0529,0.9412,0.0904,0.0876,0.0904,0.0911,0.375
Pike,1109,9418,15040,430,7990,12575,133,21078,1497,1781,47,3437,9487.0,14356.0,180.0,0.8484,0.8361,0.3093,1.0073,0.9545,0.4186,0.1402,0.1578,0.1402,0.1241,0.2611
Russell,1113,19969,20711,1955,16835,18046,740,36538,4692,4483,370,9996,21527.0,22529.0,1110.0,0.8431,0.8713,0.3785,1.078,1.0878,0.5678,0.2148,0.218,0.2148,0.199,0.3333
Sumter,1119,6453,2593,82,6187,1969,7,8221,1093,295,6,1409,7280.0,2264.0,13.0,0.9588,0.7594,0.0854,1.1282,0.8731,0.1585,0.1463,0.1501,0.1463,0.1303,0.4615
Wilcox,1131,5257,2386,1,5851,2323,9,8220,256,71,0,333,6107.0,2394.0,9.0,1.113,0.9736,9.0,1.1617,1.0034,9.0,0.0389,0.0419,0.0389,0.0297,0.0
